n_layer1,n_layer2,n_layer3,batch_norm,drop_rate,train_rmse,eval_rmse,test_rmse,train_mape,eval_mape,test_mape
256,512,256,"(False, True)",0.5,1367.6986083984375,1345.2685546875,1423.2471923828125,7.080204010009766,7.192593574523926,7.391768455505371
8,8,8,"(False, True)",0.5,2335.19580078125,2312.207275390625,2302.646484375,17.080280303955078,17.159278869628906,17.05648422241211
16,16,16,"(False, True)",0.5,2018.288330078125,1993.653564453125,2001.1175537109375,13.943833351135254,13.967613220214844,13.920129776000977
32,32,32,"(False, True)",0.5,1776.1688232421875,1774.0845947265625,1800.893310546875,10.97680377960205,11.081059455871582,11.150832176208496
64,64,64,"(False, True)",0.5,1662.55517578125,1671.088134765625,1676.9927978515625,9.8643159866333,9.91730785369873,9.999128341674805
128,128,128,"(False, True)",0.5,1213.8988037109375,1225.41845703125,1261.5372314453125,6.850988864898682,7.010803699493408,7.103994846343994
256,256,256,"(False, True)",0.5,1237.2579345703125,1251.2713623046875,1270.560302734375,6.811731815338135,6.966639995574951,7.112423896789551
512,512,512,"(False, True)",0.5,1413.1649169921875,1414.0526123046875,1474.923583984375,6.606808662414551,6.775116443634033,6.951322078704834
8,16,32,"(False, False)",0.5,2299.8828125,2242.11572265625,2256.0908203125,13.166747093200684,13.079696655273438,13.219642639160156
16,32,64,"(False, False)",0.5,2011.0531005859375,1967.7293701171875,1974.79248046875,11.83997917175293,11.797642707824707,11.896280288696289
32,64,128,"(False, False)",0.5,1663.935302734375,1646.371337890625,1646.984619140625,10.31545352935791,10.30298900604248,10.411209106445312
64,128,256,"(False, False)",0.5,1475.8702392578125,1485.7852783203125,1482.2510986328125,9.066576957702637,9.11361026763916,9.241626739501953
128,256,512,"(False, False)",0.5,1274.1326904296875,1330.3482666015625,1333.511474609375,8.082037925720215,8.193107604980469,8.249550819396973
32,16,8,"(False, False)",0.5,2943.90478515625,2885.34375,2904.814697265625,18.044654846191406,17.96884536743164,18.1228084564209
64,32,16,"(False, False)",0.5,2464.75244140625,2409.618408203125,2428.999267578125,14.30229663848877,14.237083435058594,14.385895729064941
128,64,32,"(False, False)",0.5,1859.4476318359375,1825.7740478515625,1836.7669677734375,10.388195991516113,10.355916023254395,10.474042892456055
256,128,64,"(False, False)",0.5,1627.5015869140625,1620.5458984375,1619.99072265625,8.989211082458496,9.076128959655762,9.13205337524414
512,256,128,"(False, False)",0.5,1386.9404296875,1396.69482421875,1400.543701171875,7.637734889984131,7.788534641265869,7.8626556396484375
8,16,8,"(False, False)",0.5,3175.310302734375,3117.30126953125,3135.18115234375,17.56842041015625,17.484642028808594,17.681800842285156
16,32,16,"(False, False)",0.5,2345.2529296875,2289.14501953125,2305.612548828125,12.851309776306152,12.799880027770996,12.956059455871582
32,64,32,"(False, False)",0.5,1909.4833984375,1863.6832275390625,1876.1400146484375,10.614143371582031,10.530689239501953,10.706303596496582
64,128,64,"(False, False)",0.5,1658.8853759765625,1638.2384033203125,1632.0340576171875,9.40278148651123,9.42228889465332,9.523947715759277
128,256,128,"(False, False)",0.5,1457.9395751953125,1457.4603271484375,1449.9637451171875,8.447088241577148,8.456501960754395,8.6140718460083
256,512,256,"(False, False)",0.5,1246.9989013671875,1278.0672607421875,1268.1240234375,7.259952068328857,7.377478122711182,7.44909143447876
8,8,8,"(False, False)",0.5,3397.987548828125,3342.981201171875,3360.169189453125,19.44074058532715,19.343137741088867,19.548946380615234
16,16,16,"(False, False)",0.5,2419.020263671875,2357.77001953125,2373.21044921875,13.07232666015625,12.959424018859863,13.153429985046387
32,32,32,"(False, False)",0.5,2017.87451171875,1971.349609375,1981.7716064453125,11.058053970336914,10.989768028259277,11.153302192687988
64,64,64,"(False, False)",0.5,1640.9111328125,1617.1317138671875,1619.0416259765625,9.376785278320312,9.416216850280762,9.534481048583984
128,128,128,"(False, False)",0.5,1397.2724609375,1408.9100341796875,1399.6732177734375,8.311769485473633,8.352871894836426,8.436033248901367
256,256,256,"(False, False)",0.5,1253.4971923828125,1290.07275390625,1286.1776123046875,7.5518107414245605,7.626603126525879,7.75188684463501
512,512,512,"(False, False)",0.5,1046.210693359375,1091.079833984375,1089.1160888671875,6.319801330566406,6.583780288696289,6.652472019195557
