regularizer,lambda,train_rmse,validation_rmse,test_rmse,train_mape,validation_mape,test_mape
L1,0.001,1146.17822265625,1199.3079833984375,1233.7451171875,6.451578617095947,6.73043966293335,6.804305076599121
L1,0.005,974.4400024414062,1062.0125732421875,1137.227294921875,5.676646709442139,6.1492719650268555,6.193790912628174
L1,0.01,1025.3084716796875,1092.99853515625,1070.2784423828125,5.888216018676758,6.233867645263672,6.280466556549072
L1,0.05,1098.4989013671875,1144.2998046875,1187.66015625,6.303748607635498,6.580552101135254,6.696382522583008
L1,0.1,1008.9334106445312,1062.8377685546875,1094.939697265625,5.958402156829834,6.29781436920166,6.394493579864502
L2,0.001,1056.0843505859375,1099.8524169921875,1146.2139892578125,6.11531925201416,6.522390365600586,6.5740509033203125
L2,0.005,1127.8984375,1163.8260498046875,1194.869384765625,6.367873191833496,6.615286827087402,6.690328121185303
L2,0.01,1062.989501953125,1112.487060546875,1143.7811279296875,6.311567306518555,6.641966819763184,6.695835113525391
L2,0.05,1061.09130859375,1111.142822265625,1148.278564453125,6.093349933624268,6.496554374694824,6.556295394897461
L2,0.1,1042.229736328125,1091.4268798828125,1174.177001953125,5.858576774597168,6.2714409828186035,6.351535320281982
