n_layer1,n_layer2,batch_norm,drop_rate,train_rmse,eval_rmse,test_rmse,train_mape,eval_mape,test_mape
8,16,True,0.2,1836.1162109375,1800.7200927734375,1817.2470703125,11.374302864074707,11.347283363342285,11.435468673706055
16,32,True,0.2,1419.066650390625,1415.6173095703125,1436.64990234375,8.4972505569458,8.394885063171387,8.638517379760742
32,64,True,0.2,1377.0352783203125,1416.8426513671875,1375.2645263671875,7.954700946807861,8.094419479370117,8.142742156982422
64,128,True,0.2,1309.9832763671875,1345.3983154296875,1310.690185546875,7.367059707641602,7.50697660446167,7.569655895233154
128,256,True,0.2,1322.26220703125,1475.794921875,1442.8443603515625,7.233266353607178,7.452831745147705,7.58545446395874
256,512,True,0.2,1086.639404296875,1145.093505859375,1154.6923828125,6.171841621398926,6.451972961425781,6.48813533782959
8,8,True,0.2,1692.91748046875,1659.6248779296875,1685.2625732421875,9.886748313903809,9.85179328918457,9.946189880371094
16,16,True,0.2,1488.4849853515625,1488.3685302734375,1494.271484375,8.671394348144531,8.751665115356445,8.836833953857422
32,32,True,0.2,1377.337646484375,1438.0396728515625,1409.91650390625,8.128771781921387,8.213227272033691,8.289656639099121
64,64,True,0.2,1365.239013671875,1374.5732421875,1366.7088623046875,8.04956340789795,8.098153114318848,8.092833518981934
128,128,True,0.2,1260.5540771484375,1409.8292236328125,1436.9366455078125,6.769779205322266,6.947279930114746,7.067886829376221
256,256,True,0.2,1250.527099609375,1299.413818359375,1284.343017578125,6.842597007751465,7.001550674438477,7.172278881072998
512,512,True,0.2,973.7079467773438,1036.63330078125,1075.8363037109375,5.575592041015625,6.014151573181152,6.079529762268066
16,8,True,0.2,1529.6087646484375,1510.0888671875,1523.6151123046875,8.87044906616211,8.845223426818848,8.9443359375
32,16,True,0.2,1394.367431640625,1433.5020751953125,1421.7569580078125,8.22012996673584,8.243886947631836,8.372638702392578
64,32,True,0.2,1378.7818603515625,1354.83837890625,1370.5738525390625,7.847450256347656,7.832038402557373,7.964524269104004
128,64,True,0.2,1329.1627197265625,1395.38818359375,1340.5426025390625,7.418387413024902,7.591042518615723,7.664610862731934
256,128,True,0.2,1236.1107177734375,1315.4627685546875,1281.3990478515625,6.786651611328125,6.968355178833008,7.078629970550537
512,256,True,0.2,1177.5750732421875,1236.0504150390625,1266.7540283203125,6.416520595550537,6.6424150466918945,6.747597694396973
8,16,False,0.2,2367.062744140625,2293.0009765625,2320.90771484375,13.088150978088379,12.866477966308594,13.085851669311523
16,32,False,0.2,1784.81298828125,1745.596923828125,1761.128662109375,10.236936569213867,10.09381103515625,10.24315071105957
