model_type,meta_learner,train_rmse,validation_rmse,test_rmse,train_mape,validation_mape,test_mape
stacking,linear,425.47866320575145,809.9202716410988,850.5209707429087,0.02589363171026652,0.045262821457732624,0.045746001583579575
stacking,lasso,440.8369236986988,809.6674466113286,852.177579643546,0.026520469290890296,0.04529421849579077,0.04587044307604898
stacking,ridge,425.46906633112195,809.9116896280974,850.5152172181591,0.02589309104699004,0.045262620047754394,0.04574602337938828
stacking,random_forest,492.0080608749608,856.6412147084274,890.2837616272499,0.026635066680800287,0.04758619109395553,0.048020350045765464
stacking,xgboost,506.2636606710799,862.769127083003,894.4723201785138,0.024493408277690976,0.04590564932479187,0.04653903367575603
stacking,lightgbm,472.24111575982664,836.9468778089989,861.8262553100778,0.024411157956814065,0.04531094106951633,0.04585692851545063
