Planning_Region,Planning Area,Coordinates,Centroid Longitude,Centroid Latitude,geometry
CENTRAL REGION,BUKIT MERAH,"POLYGON ((103.817404504805 1.29433192068794, 103.81786774928 1.29392922800993, 103.818414502703 1.29393123899475, 103.818416498367 1.29393124624148, 103.818550237481 1.29393170011605, 103.818552553924 1.29393170736455, 103.818667621319 1.2939320806349, 103.818865940503 1.29393275101078, 103.819102674874 1.29381092266042, 103.821616893093 1.29357188755592, 103.821690495622 1.29352838342666, 103.821775431498 1.29347817890817, 103.821777444239 1.2934769851558, 103.821825661067 1.29344838755159, 103.821828176994 1.29344689626547, 103.8227464099 1.29290354975449, 103.823162738865 1.29265716631009, 103.823315968556 1.2925665025389, 103.82337809572 1.2925288812073, 103.823491292548 1.29246188630371, 103.823697293724 1.29233997871761, 103.823802153842 1.29227791346078, 103.823802184392 1.29227789446923, 103.823910184917 1.2922139743674, 103.824252970519 1.29201211415476, 103.824388786356 1.29193030036914, 103.824490138187 1.29196786713764, 103.824652651856 1.29204531298552, 103.824781151294 1.2921002608236, 103.824977784443 1.29217241713595, 103.825063265382 1.29219714094369, 103.825208040199 1.29223125496032, 103.825755161316 1.29235637553915, 103.825920417529 1.29238925964021, 103.825937349651 1.29239253529936, 103.826105739984 1.29242510467852, 103.827429706721 1.29257895053196, 103.828597095433 1.29271979063571, 103.829250938089 1.29254762603241, 103.829589742611 1.29245841458229, 103.829845172238 1.29238944808437, 103.830132522578 1.29231185757793, 103.830478893665 1.2922213979942, 103.830721281803 1.29215177120624, 103.830830168972 1.29212903287093, 103.830870524311 1.29211812355734, 103.830916037284 1.29210567954087, 103.831044835249 1.29208006623939, 103.831144116981 1.29207469259144, 103.831284995813 1.2920855369487, 103.831626736552 1.29212650854842, 103.831805537455 1.29215476463861, 103.83181811435 1.29215683292863, 103.831824375392 1.29215786300395, 103.831983823497 1.29218407158783, 103.832220831073 1.29222302993277, 103.832367465078 1.29224132348549, 103.832515419044 1.29225962607377, 103.832674021637 1.29227919838445, 103.832693930637 1.29228162118302, 103.832852973518 1.29230096920006, 103.833025902474 1.29232220823574, 103.833206498694 1.29234417346494, 103.833427766537 1.29236954632681, 103.83351772409 1.29220618908879, 103.833618057096 1.29201636922606, 103.833663842303 1.291930308956, 103.833710481121 1.29184264524605, 103.833873083939 1.29154509561137, 103.833971978329 1.29136355428986, 103.834148294625 1.29104429716297, 103.834303511339 1.29077465981845, 103.83448267414 1.29047002715002, 103.834518174595 1.29040931983292, 103.834563547316 1.29033172801836, 103.834642892051 1.29016968297631, 103.834776572417 1.28989666871358, 103.834916730311 1.28957935050825, 103.835010093913 1.28922069742463, 103.835047494531 1.28882885689706, 103.83506234537 1.28846191535725, 103.835042636528 1.28809449995264, 103.835025347492 1.28777184156362, 103.835019644284 1.28751399718904, 103.835017331372 1.2874094101039, 103.835002211539 1.28726936649713, 103.834952502342 1.28705151587873, 103.834940136594 1.28699732453334, 103.834871017986 1.28669440574538, 103.83481895283 1.28646101451835, 103.834797874819 1.28636652648591, 103.834788494019 1.28629461410753, 103.834773325696 1.28617833901651, 103.834767876883 1.28606123642593, 103.834767777144 1.28605910483791, 103.834758273172 1.28585484679503, 103.834825057871 1.28552995366459, 103.834825158507 1.28552945988129, 103.834914382387 1.28514559942928, 103.835051532572 1.28479657145996, 103.835069520406 1.28475036382695, 103.835094101715 1.28469074717068, 103.835094119686 1.28469070466552, 103.83534290326 1.28406905308268, 103.835485210131 1.28382177698872, 103.835537251684 1.28376552182875, 103.835636275113 1.28365848653539, 103.835974522656 1.28329013927883, 103.835974971925 1.28328965001693, 103.836412945461 1.28287152906331, 103.836755535574 1.28261362274052, 103.836962760028 1.28248380086816, 103.837126403572 1.28238132794396, 103.8373784839 1.28222399157177, 103.83768507848 1.2820308657442, 103.837940368315 1.28187125754594, 103.838108850412 1.2817688912646, 103.838105939142 1.28176632829986, 103.838105346106 1.2817658064824, 103.838141186973 1.28174399041974, 103.838206840417 1.28170402731297, 103.838585120201 1.28147374992698, 103.838966208534 1.28114518971499, 103.839241684321 1.28079201197489, 103.839614605855 1.27980700573177, 103.839598182284 1.27976775000318, 103.839596021287 1.27976258246722, 103.839681620756 1.2795007921181, 103.839716896263 1.27942399788081, 103.839741017336 1.27935382271811, 103.839800398722 1.27924221850782, 103.839832392779 1.27917256785585, 103.839867934271 1.27910634473751, 103.839950875193 1.27895180483288, 103.840038679866 1.27878856944367, 103.840140612164 1.2785990640206, 103.840157925998 1.27856663616036, 103.840190009019 1.27850692899601, 103.840308057377 1.27828568302591, 103.840455581104 1.27798149856258, 103.84047809646 1.2779122413272, 103.840484967516 1.27789110449026, 103.840596776932 1.27754717418244, 103.840666298193 1.27710520088125, 103.840711931348 1.27680955027912, 103.840805662325 1.27622259091952, 103.840891107219 1.27572513477073, 103.841003349975 1.27520975673649, 103.841005890109 1.27520038750777, 103.841134950839 1.27472436828349, 103.841356986455 1.27418983725184, 103.841371815783 1.27415461218944, 103.841428824772 1.2740191914936, 103.841534821621 1.27378617428445, 103.841588613915 1.27367608214509, 103.841679124675 1.27350591834563, 103.841753836599 1.27337533322389, 103.841871651959 1.27318105443519, 103.841953615934 1.27304717649034, 103.842023317507 1.2728895680472, 103.842039006715 1.27285362310325, 103.842154517048 1.27258899013911, 103.843315051118 1.27261673903509, 103.843943284682 1.27263176072701, 103.844001164746 1.27263314416517, 103.844089260749 1.27263215803918, 103.844759396522 1.27262466066682, 103.844759444144 1.27262465976224, 103.845139280206 1.27262041114291, 103.845463778025 1.27258619478752, 103.845676606811 1.27256375557205, 103.845571336117 1.27235522398272, 103.845820929194 1.27229931041435, 103.845866341119 1.27228913699112, 103.846036250364 1.27225107414609, 103.846196363816 1.27222181985388, 103.846261929889 1.27221271799497, 103.846298026717 1.27220681050067, 103.846303398157 1.27220602458034, 103.8463256899 1.27220228310958, 103.846327034108 1.27220206334206, 103.846368919294 1.27219502988303, 103.846469717789 1.27217726673608, 103.846510880545 1.27216880799923, 103.846609162214 1.27214597046786, 103.846682067478 1.27212853755007, 103.846723834934 1.27211763521251, 103.846778488261 1.27210238642865, 103.846851048464 1.27208102132896, 103.846918819473 1.27205965625262, 103.846989327415 1.2720376020338, 103.847050934463 1.27201486054329, 103.847134443268 1.27198498620699, 103.847150570144 1.27197880207244, 103.847239779219 1.27194250761503, 103.847274566831 1.2719283541143, 103.847276265958 1.27192784585195, 103.847276712529 1.27192764779359, 103.847394635104 1.27187542640297, 103.847455796437 1.27184647010912, 103.847459480422 1.27184469482038, 103.847467255426 1.27184091543632, 103.847475028633 1.27183713424351, 103.847482785666 1.27183333677219, 103.847490540902 1.27182952121356, 103.847498280862 1.27182568666334, 103.847506019924 1.27182183493015, 103.847513741016 1.27181796601411, 103.847521463006 1.27181409800241, 103.847529166126 1.27181019381618, 103.847536870145 1.27180628872556, 103.847544574163 1.27180235017342, 103.847552260211 1.27179840981263, 103.847559929187 1.27179443599039, 103.847567597264 1.27179046035942, 103.847575266239 1.27178646754549, 103.847582917244 1.27178245754868, 103.84759056735 1.27177843036893, 103.847598203079 1.27177440228488, 103.847605836112 1.27177033802622, 103.847613451175 1.27176625748907, 103.847621068035 1.2717621787606, 103.847628666924 1.27175806024017, 103.847636266711 1.2717539444328, 103.847643845832 1.27174981053822, 103.847651428547 1.27174565946066, 103.847658990595 1.27174149120027, 103.847666554441 1.27173730394818, 103.847674099417 1.27173309860887, 103.847681647088 1.27172887699095, 103.847689192064 1.27172465446866, 103.847696701997 1.27172039758068, 103.847704230799 1.27171613888383, 103.84771174163 1.27171186662161, 103.847719233592 1.2717075726547, 103.847726727351 1.27170324432188, 103.847734203139 1.27169893407644, 103.847741678927 1.27169458856075, 103.847749137642 1.2716902258622, 103.847756596358 1.27168586135491, 103.847764053276 1.27168146157735, 103.847771477847 1.27167706360871, 103.847778916794 1.27167264664829, 103.847786323394 1.27166819622652, 103.847793743472 1.27166376117887, 103.847801133898 1.27165929086112, 103.847808522527 1.27165480516914, 103.847815906663 1.27165029686807, 103.847823280017 1.27164579670631, 103.847830649776 1.2716412721267, 103.847838004261 1.27163671499001, 103.84784533718 1.27163215694905, 103.847852673693 1.2716275826295, 103.847860008409 1.27162298931826, 103.847867308981 1.2716183960072, 103.847874627523 1.27161376742578, 103.847881925399 1.27160913974881, 103.847889208898 1.27160449398463, 103.847896492397 1.27159981114145, 103.847903758824 1.27159513010707, 103.847911005483 1.27159044907277, 103.848302710462 1.27133152441155, 103.848342843373 1.27130499282179, 103.848375907538 1.27128354832587, 103.848846835067 1.27097812790434, 103.850164408409 1.27008350458753, 103.85128895755 1.26942455766059, 103.851564418279 1.26926314556469, 103.851564509394 1.26918669778394, 103.851565436718 1.26842183381003, 103.851566514129 1.26753259703572, 103.85156911834 1.26538440458332, 103.851570622788 1.26414065037073, 103.851658572045 1.2641408749345, 103.85165518978 1.26385747499923, 103.851747010804 1.26385763622709, 103.851744605 1.2640513304293, 103.851743491451 1.26414095572286, 103.851790572754 1.26414081973178, 103.851843469882 1.26408760651569, 103.851844306173 1.26405335820675, 103.851842454283 1.26405128722416, 103.851814276982 1.2640197703055, 103.851796009488 1.26397308801876, 103.851797057936 1.26357162139059, 103.851772483793 1.26354563915938, 103.851757305753 1.26354094561333, 103.85121830321 1.26354149202282, 103.85066856978 1.26304285603101, 103.850668613808 1.26304280809937, 103.850760158273 1.26294072456819, 103.851958166949 1.26160483703216, 103.852004959406 1.26155265845008, 103.852004977377 1.2615526367452, 103.852027025369 1.26152805142262, 103.852043201504 1.2615100128408, 103.852056611082 1.26149505997237, 103.852056399027 1.26149484925686, 103.852051174928 1.26148962658665, 103.852066953016 1.26147209987817, 103.852069900152 1.26146537138101, 103.85206987319 1.26146459905348, 103.852069648511 1.26145815454993, 103.852066118133 1.26145153371914, 103.852066097467 1.26145151563198, 103.85205828199 1.26144460724414, 103.852050833216 1.2614518964802, 103.852021421392 1.26142514647978, 103.851259734168 1.2607324525702, 103.849151534512 1.25865954766578, 103.848049510311 1.25757597106315, 103.846516053082 1.25606818205002, 103.846242702251 1.25604388946383, 103.840722783118 1.25559805361261, 103.839346457485 1.25548688717713, 103.838604763465 1.25543028909721, 103.838597582409 1.25542640124615, 103.836150886893 1.25410157435864, 103.831184761252 1.25566015965542, 103.828115523308 1.25615654955621, 103.823853278476 1.2583120989272, 103.823684092056 1.25839766118798, 103.822750048799 1.2588700336505, 103.819190117133 1.26067039045123, 103.818965790068 1.26078742219235, 103.805702455375 1.26088082859039, 103.802568204077 1.25780646693752, 103.79558144747 1.26184984794148, 103.798068007404 1.2662024763995, 103.798080832762 1.26622492652858, 103.798313735146 1.26663261286729, 103.799210086843 1.26820163826656, 103.8002845503 1.27008243640497, 103.800423116884 1.27022458263633, 103.800454421419 1.27025669522493, 103.800466302466 1.27027836215045, 103.800485626802 1.27031360459212, 103.800496275089 1.27033302325068, 103.800505359963 1.27034959133116, 103.800524138003 1.27038383715549, 103.800525596291 1.27038649691118, 103.800528641355 1.27039204975035, 103.800530283838 1.27039504502777, 103.800545150648 1.27042215807628, 103.800562104707 1.27045307671871, 103.800563000525 1.27045471091745, 103.800581239459 1.27048797368988, 103.80058463045 1.27049415778008, 103.800728353139 1.27061441662283, 103.801863376726 1.27246365888655, 103.801850081709 1.27270985035181, 103.801982858434 1.2726967359758, 103.802209053052 1.27269417847571, 103.802184082732 1.27292080024999, 103.802119568935 1.27350629612669, 103.80206192067 1.27402949219631, 103.80196303673 1.27492693201752, 103.802013066612 1.27534896352852, 103.80209436655 1.27576470737106, 103.802175846658 1.27606928306914, 103.802433031357 1.27673082002681, 103.80271879279 1.27750740697785, 103.802890249069 1.27795322562035, 103.80307872309 1.27852808555748, 103.803116375732 1.27873019345561, 103.803127891742 1.27893045704374, 103.803094956501 1.27910514738067, 103.80302462544 1.2793204088873, 103.802749284067 1.27990967253234, 103.801995231413 1.28136489667537, 103.801924996402 1.28150115012343, 103.801693405727 1.28198067493076, 103.801612183894 1.28214596557676, 103.801606849129 1.28215746450856, 103.801476485678 1.28243815238768, 103.801420731791 1.28254773718743, 103.801380067436 1.28262702685946, 103.801337895339 1.28270566175164, 103.801303462424 1.28277875208002, 103.801272646785 1.28294321404489, 103.80125689818 1.28308057419547, 103.8012621458 1.2832126513117, 103.80129363775 1.28336057775151, 103.801335627972 1.28352963661485, 103.801393365425 1.28367228008459, 103.801456352086 1.2838202069179, 103.801590136596 1.28410255037212, 103.801619068808 1.28416360892139, 103.801755540275 1.28442248142155, 103.801902510239 1.28468663643915, 103.802242370402 1.28526643882953, 103.802485268041 1.28572454143956, 103.802738574365 1.28619004366494, 103.802896658615 1.28645045921198, 103.803017115852 1.28661565282864, 103.803187521266 1.28677177625554, 103.803678539231 1.28709426224713, 103.804354633046 1.28751843885334, 103.804878927806 1.28784560418096, 103.805067058001 1.28800425176563, 103.806405354088 1.28957258771964, 103.806637462402 1.28984700881936, 103.808130357133 1.29160827454937, 103.808381856314 1.29188672191745, 103.808662088825 1.2921969823816, 103.80887440264 1.2923870774016, 103.808946200252 1.29242959318877, 103.80903353551 1.29246688551264, 103.809155276081 1.29249085958332, 103.809284686825 1.29249212331299, 103.809578721422 1.29248020928301, 103.810272114108 1.29236034939704, 103.810856998611 1.29225913545301, 103.811964133518 1.29207934649469, 103.813938869181 1.29176826546516, 103.814533029928 1.2916720753866, 103.81536376184 1.29152266860969, 103.815594725733 1.29243443547638, 103.815732400914 1.29300998144154, 103.815754336402 1.29310165434217, 103.815776166707 1.2932012042593, 103.815962433408 1.29403461751042, 103.815976656856 1.29410605881041, 103.816158880283 1.29413179375909, 103.816772180165 1.29422094110232, 103.816830980585 1.29425647398124, 103.816832391435 1.29423517619928, 103.817049702313 1.2943659957907, 103.817053422283 1.2943656503474, 103.817063361073 1.29436473157693, 103.817352679503 1.29433798050842, 103.817395171625 1.29433405131243, 103.817402871245 1.29433334053036, 103.817404504805 1.29433192068794))",103.82354785870821,1.2730038601960347,POINT (103.8235478587082 1.273003860196035)
WEST REGION,BUKIT PANJANG,"POLYGON ((103.774450261573 1.39028945327231, 103.774987815001 1.38607100536038, 103.775183690632 1.38450473909676, 103.775327989436 1.3833508930264, 103.775359337477 1.3831140988184, 103.775976678803 1.37982834067355, 103.776446021496 1.37813761862465, 103.776891317446 1.37653351220525, 103.777182783157 1.3754845909629, 103.777318596643 1.37499582080461, 103.777430805267 1.37459394678023, 103.778128219828 1.37209601160894, 103.778374567066 1.37120928222603, 103.77839548301 1.37113399532222, 103.778505774488 1.3707370011225, 103.778954694554 1.36899473361257, 103.779158298781 1.36807246433731, 103.779175147848 1.36799259130091, 103.779511645854 1.36609654210921, 103.779578011924 1.3656700799468, 103.779618225621 1.36538382887037, 103.779619133302 1.36537811240642, 103.779872738231 1.36378187325128, 103.780257683389 1.36215639343646, 103.78063587798 1.36106819781278, 103.781230188667 1.35974879259195, 103.781581345185 1.35909589279807, 103.782459280857 1.35785806332268, 103.783151736997 1.35703252737165, 103.783657139047 1.35648345504861, 103.784448522978 1.35573733564676, 103.7850830208 1.35525612728736, 103.785572956529 1.35486132606619, 103.787396819065 1.35369925276656, 103.787769956738 1.3534615115667, 103.788395149115 1.35305533719834, 103.788928678818 1.35269769819702, 103.789391598263 1.35229433132593, 103.789752969292 1.3519306406008, 103.790142138012 1.35152498600851, 103.790503509796 1.35110534214995, 103.791656104689 1.34927016771457, 103.791302421365 1.34917308804303, 103.790395597556 1.34886255233426, 103.790141831541 1.34872807609568, 103.789819666674 1.34845985127804, 103.789449297289 1.34800914474914, 103.789396652408 1.34790492757836, 103.789383584196 1.34857999269778, 103.789381092858 1.34875948090669, 103.789376729201 1.34907318667305, 103.789371114066 1.34907423653777, 103.789268784088 1.34911818586961, 103.789142256884 1.34910314488861, 103.789048367196 1.34909198964749, 103.788914086316 1.34907604686156, 103.788794389075 1.34906181720261, 103.788674700821 1.3490475992947, 103.788554796914 1.34903335243724, 103.788434893009 1.34901911642627, 103.788315258674 1.34900489669296, 103.78819560547 1.34899067876214, 103.788075890267 1.34897645901559, 103.787770309649 1.34894016204791, 103.787708433918 1.3493650763792, 103.787115040625 1.34896754189857, 103.786839230532 1.34872936326997, 103.786757265028 1.34865858705924, 103.786620999336 1.34863906915755, 103.786233656284 1.34858359608895, 103.786177011079 1.34857548374334, 103.786210169712 1.34853447057145, 103.786428877342 1.34823767064949, 103.786504393558 1.34813520855888, 103.786922236537 1.3475684506898, 103.787098367251 1.34732945774392, 103.787252529335 1.34712027401716, 103.787406716552 1.34691106043579, 103.78756090554 1.34670186493066, 103.787641291987 1.34659280103355, 103.78771512056 1.3464926169618, 103.788029129829 1.34606647650474, 103.78816795204 1.3458776125842, 103.78830597174 1.34569280652188, 103.788172413126 1.34550147765436, 103.787925507761 1.34519063221963, 103.78769402661 1.3449574719349, 103.787374104877 1.34471246097565, 103.787153642601 1.3445894533122, 103.786987103216 1.34450134426496, 103.786566260742 1.34430009526441, 103.785713762964 1.34393198347728, 103.783772223189 1.34310331824956, 103.782435990548 1.34266923291087, 103.781923394339 1.34250127898692, 103.781130596222 1.34227068450433, 103.780249016466 1.34243843489675, 103.779947615079 1.34248655041165, 103.779739015833 1.34250334166956, 103.77947200913 1.34248653991565, 103.77916860785 1.34243851505581, 103.778779462919 1.34232696479773, 103.77836226786 1.34216739572941, 103.777828259911 1.34185666218575, 103.776439993915 1.34350550007576, 103.776327347451 1.34363303989333, 103.776205313607 1.34376530388183, 103.775843906612 1.34410068507859, 103.775529437263 1.34433686764614, 103.775210275677 1.34453053590538, 103.772634973518 1.3459768266477, 103.772429177599 1.34609675732772, 103.772234119941 1.34623371562442, 103.772113667764 1.3463440784469, 103.771993353784 1.34646127464025, 103.771879329199 1.34659931295788, 103.771039756712 1.34790754797665, 103.770384023476 1.34901643941285, 103.77033596944 1.34911471719445, 103.770288445141 1.34922897238551, 103.770248840217 1.34936448575959, 103.770222357629 1.34947533295026, 103.770157765348 1.3498247096413, 103.770109319257 1.35014158572216, 103.77006087321 1.3504909619253, 103.769955647049 1.35121852532912, 103.769804873375 1.35243657468839, 103.769742426551 1.35272285756101, 103.76967304155 1.35298819156317, 103.769582843271 1.35328145538478, 103.769298374137 1.354105386609, 103.768847386141 1.35538317826232, 103.768757189883 1.3555926518263, 103.768632304337 1.35580910704616, 103.768396411014 1.35619313968619, 103.768146641826 1.35654924245495, 103.767813616425 1.35702404519475, 103.767702608388 1.35719860517768, 103.767609539203 1.35737638337145, 103.767522213859 1.35764548256373, 103.767459768309 1.35786892201097, 103.76741119409 1.35821804669612, 103.767091994421 1.36054322134596, 103.767078107329 1.36096217289457, 103.767085038165 1.36118561333237, 103.76711278397 1.36138810837647, 103.767154405446 1.36159060289912, 103.767522072549 1.36286143310043, 103.767605317886 1.36318263192693, 103.767643595979 1.36341382361985, 103.767646937204 1.36343400368403, 103.76766080588 1.36369235817537, 103.767660800959 1.36387390376896, 103.767646920356 1.36405544988556, 103.767612226038 1.36424397711772, 103.767542840938 1.36452327619057, 103.767445704639 1.36479559190282, 103.767251435977 1.36519359158619, 103.767022478597 1.36557064160564, 103.766882888156 1.36578775103488, 103.766787422876 1.36593623042731, 103.766717203046 1.36604544485639, 103.766515999202 1.36633870539011, 103.766210724226 1.36678557909965, 103.765940140134 1.36716961041541, 103.765676493102 1.36754666020418, 103.765389642208 1.36795674931954, 103.765049057024 1.3684852524234, 103.7648840446 1.36874131011823, 103.764453635012 1.36944381552914, 103.764437300952 1.36947047569664, 103.764437058343 1.36947031290418, 103.764078848716 1.37001140859467, 103.763852781878 1.37036013094949, 103.763497295501 1.37108891823662, 103.763276892468 1.37161250933935, 103.763106781651 1.37228252921748, 103.762939488889 1.37303650303785, 103.762830854003 1.37360087785187, 103.762595811703 1.37510981593185, 103.762518139842 1.37554433136106, 103.762329120551 1.37670644461628, 103.762161443774 1.37748071856159, 103.762092120692 1.37781381436373, 103.762039248123 1.37798357356199, 103.761983955838 1.3781785635233, 103.76188867035 1.37841750162926, 103.761240296186 1.3796694610874, 103.76021385464 1.38165143524893, 103.75942814972 1.38304207304909, 103.75917190662 1.38339548390149, 103.758882466226 1.38372870737693, 103.75865178311 1.38396158541478, 103.758517132159 1.38408912351551, 103.75831476172 1.3842792224084, 103.757377723757 1.38530705743752, 103.756824682303 1.38602806401956, 103.75633214872 1.3867241192368, 103.755996818347 1.38718939593395, 103.755652232842 1.3877820608848, 103.755401247468 1.38826224778843, 103.755242887888 1.38861399282806, 103.755238269767 1.38862425086744, 103.755225767858 1.38865201983126, 103.755129477449 1.38886589764274, 103.755232106688 1.38886277105625, 103.755411477146 1.38885730652021, 103.756099203917 1.38887830413357, 103.756682729959 1.38889929724357, 103.757328776293 1.38892029223322, 103.758099861441 1.38902518974744, 103.758933463672 1.3892349607791, 103.759892104556 1.38957058212461, 103.760871583354 1.38994815172789, 103.761475944124 1.39017888969612, 103.762205346912 1.39036768150652, 103.764315545504 1.39067344199186, 103.764956247486 1.39076627738839, 103.765873216865 1.3908082528412, 103.76697775203 1.39074536144895, 103.769374383825 1.39059860640852, 103.770839076158 1.39046005397468, 103.771812699027 1.39036795309165, 103.774440787862 1.39028973519601, 103.774450261573 1.39028945327231))",103.7729979715943,1.3668221788963035,POINT (103.7729979715943 1.366822178896304)
